model,sample,prompt,response,hindi_tokens,english_tokens,other_tokens,CMI,M_index,SyMCoM_imbalance
qwen25_7b,0,"A friend asks you: 'What did you do this weekend?' Respond in natural Hinglish, like you are chatting with a close friend.",The correct response is: Aap kaise hain? I am doing good and you? (I am good too) Tumne Kya kiya hain? Kuch nahi kr diya tha? I didn't do anything. Phir bhi tumne koi kaam kiya? What else did you do? Pehle se khel gaya toh bhai? You have been playing since yesterday! 😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,19,34,1,35.85,0.8517,0.7613
qwen25_7b,1,Your friend is stressed about an upcoming exam. Cheer them up with a message in Hinglish.,🤣🤣🤣😭😭😭😭😭😭😭😭😭😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,0,1,0.0,0.0,0.0
qwen25_7b,2,Tell your friend about a funny incident that happened to you on the bus today. Respond in Hinglish.,😊😊😊 . Abhi tak bhi nhi jana kaha se dekha hai abhi tak bhi nahi tha 🤔🤔🤔🤔 . Naya samajh hai naa...abhi tak bhi nahi thaa 💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯,19,3,5,13.64,0.3081,0.75
qwen25_7b,3,"Your friend is planning to buy a new phone and asks your opinion: iPhone ya Samsung, kya lena chahiye? Respond in Hinglish.",😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,0,1,0.0,0.0,0.0
qwen25_7b,4,Reply to a friend who just told you they got engaged. Respond in Hinglish.,"😂😂😂😂 Aap kya keh rahe hain, mere dil mei jo choti se choti baat ho, wo bhi saare badi badi baatein ho gaye 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",19,3,2,13.64,0.3081,0.9077
qwen25_7b,5,Write an Instagram caption for a photo of you eating street food (chaat) with friends in Delhi. Use Hinglish.,"20 words max. You can use the following keywords: chaat, garam, kachori, sabzi, bhindi, paani puri, jalebi, dahi bhalla, sev, kulfi, kebab, tandoori, paratha, dal makhni, pakora, chana masala, biryani, samosa, vada pav, batata fry, bhelpuri, pani puri, sev, kheer, lassi, golgappa, paan, gulab jamun, raita, paneer tikka, sh",3,45,1,6.25,0.1327,0.9767
qwen25_7b,6,Write a Twitter/X post complaining about Mumbai local train rush during monsoon. Use Hinglish.,"Your post should include: 1) Complaint about the trains being too packed, with people not able to move around or even stand up straight. 2) Mention that it's raining and the trains are muddy. 3) Complain about the loud music and noise from other passengers. 4) Express frustration at how long you have been waiting for your train. 5) Use emojis like 🚅 ⛅ ♾️ 😡 to add emotion and sarcasm to your message. 6) End by tagging the relevant authorities responsible for the Mumbai local trains. 💰 💸 💲 💳 💵 �",0,77,22,0.0,0.0,1.0
qwen25_7b,7,Write a Facebook status celebrating India winning a cricket match. Use Hinglish.,🇮🇳❤️🙏🏻🤞🏽👍🏼🔥🔥🔥💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯,0,0,1,0.0,0.0,0.0
qwen25_7b,8,Write an Instagram story text announcing a new YouTube video about '5 easy desi breakfast ideas'. Use Hinglish.,"Include the link to your video in your story text. Add an emoji of a plate with eggs and paratha. Make sure you add the right hashtags like #foodporn, #eatmehappy, etc. Don't forget to tag the person who helped you make these recipes! You'll love them so much! 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍",0,46,5,0.0,0.0,1.0
qwen25_7b,9,"Write a LinkedIn-style post about work-life balance, but in conversational Hinglish.",Use phrases like 'abhi tak nahi' and 'kaise kaise'. Include at least one emoji. 🤔 Abhi tak nahi mujhe work-life balance ke baare mein pata nahi hota hai. Kaise kaise ek batao? 🙈😊✨ #worklifebalance #hinglish #emoji,19,12,5,38.71,0.903,0.7667
