model,prompt,response,total_tokens,hindi_tokens,english_tokens,hindi_ratio,english_ratio,CMI,M_index,SyMCoM,switches
qwen25_7b,"A friend asks you: 'What did you do this weekend?' Respond in natural Hinglish, like you are chatting with a close friend.",The correct response is: Aap kaise hain? I am doing good and you? (I am good too) Tumne Kya kiya hain? Kuch nahi kr diya tha? I didn't do anything. Phir bhi tumne koi kaam kiya? What else did you do? Pehle se khel gaya toh bhai? You have been playing since yesterday! 😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,53,18,35,0.33962264150943394,0.660377358490566,33.9622641509434,0.339622641509434,0.40384615384615385,21
qwen25_7b,Your friend is stressed about an upcoming exam. Cheer them up with a message in Hinglish.,🤣🤣🤣😭😭😭😭😭😭😭😭😭😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,0,0,0.0,0.0,0.0,0.0,0.0,0
qwen25_7b,Tell your friend about a funny incident that happened to you on the bus today. Respond in Hinglish.,😊😊😊 . Abhi tak bhi nhi jana kaha se dekha hai abhi tak bhi nahi tha 🤔🤔🤔🤔 . Naya samajh hai naa...abhi tak bhi nahi thaa 💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯,23,14,9,0.6086956521739131,0.391304347826087,39.13043478260869,0.3913043478260869,0.7727272727272727,17
qwen25_7b,"Your friend is planning to buy a new phone and asks your opinion: iPhone ya Samsung, kya lena chahiye? Respond in Hinglish.",😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,0,0,0.0,0.0,0.0,0.0,0.0,0
qwen25_7b,Reply to a friend who just told you they got engaged. Respond in Hinglish.,"😂😂😂😂 Aap kya keh rahe hain, mere dil mei jo choti se choti baat ho, wo bhi saare badi badi baatein ho gaye 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",22,11,11,0.5,0.5,50.0,0.5,0.5714285714285714,12
qwen25_7b,Write an Instagram caption for a photo of you eating street food (chaat) with friends in Delhi. Use Hinglish.,"20 words max. You can use the following keywords: chaat, garam, kachori, sabzi, bhindi, paani puri, jalebi, dahi bhalla, sev, kulfi, kebab, tandoori, paratha, dal makhni, pakora, chana masala, biryani, samosa, vada pav, batata fry, bhelpuri, pani puri, sev, kheer, lassi, golgappa, paan, gulab jamun, raita, paneer tikka, sh",48,1,47,0.020833333333333332,0.9791666666666666,2.083333333333337,0.02083333333333337,0.0425531914893617,2
qwen25_7b,Write a Twitter/X post complaining about Mumbai local train rush during monsoon. Use Hinglish.,"Your post should include: 1) Complaint about the trains being too packed, with people not able to move around or even stand up straight. 2) Mention that it's raining and the trains are muddy. 3) Complain about the loud music and noise from other passengers. 4) Express frustration at how long you have been waiting for your train. 5) Use emojis like 🚅 ⛅ ♾️ 😡 to add emotion and sarcasm to your message. 6) End by tagging the relevant authorities responsible for the Mumbai local trains. 💰 💸 💲 💳 💵 �",77,8,69,0.1038961038961039,0.8961038961038961,10.389610389610393,0.10389610389610393,0.21052631578947367,16
qwen25_7b,Write a Facebook status celebrating India winning a cricket match. Use Hinglish.,🇮🇳❤️🙏🏻🤞🏽👍🏼🔥🔥🔥💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯,0,0,0,0.0,0.0,0.0,0.0,0.0,0
qwen25_7b,Write an Instagram story text announcing a new YouTube video about '5 easy desi breakfast ideas'. Use Hinglish.,"Include the link to your video in your story text. Add an emoji of a plate with eggs and paratha. Make sure you add the right hashtags like #foodporn, #eatmehappy, etc. Don't forget to tag the person who helped you make these recipes! You'll love them so much! 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍",48,5,43,0.10416666666666667,0.8958333333333334,10.416666666666663,0.10416666666666663,0.2127659574468085,10
qwen25_7b,"Write a LinkedIn-style post about work-life balance, but in conversational Hinglish.",Use phrases like 'abhi tak nahi' and 'kaise kaise'. Include at least one emoji. 🤔 Abhi tak nahi mujhe work-life balance ke baare mein pata nahi hota hai. Kaise kaise ek batao? 🙈😊✨ #worklifebalance #hinglish #emoji,35,14,21,0.4,0.6,40.0,0.4,0.5294117647058824,18
qwen25_7b,Write a 4-star Amazon-style review of a budget smartphone you just bought. Use Hinglish.,Include some emojis. 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,3,0,3,0.0,1.0,0.0,0.0,0.0,0
qwen25_7b,Write a negative review of a food delivery app whose order arrived cold and late. Use Hinglish.,4/5 stars for this guy 😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁,4,0,4,0.0,1.0,0.0,0.0,0.0,0
qwen25_7b,Write a glowing review of a saree you bought online for your mother. Use Hinglish.,🎀✨❤️💐🌹🌸🌷🌺🌻💐🌷🌸🌹🌺💐🌷🌹🌸🌺💐💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸,0,0,0,0.0,0.0,0.0,0.0,0.0,0
